category,welfareType,servId,servNm,agency,department,intrsThemaArray,lifeArray,srvPvsnNm,sprtCycNm,servDgst,servDtlLink,inqNum,contact
기관,지역센터,ORG0001,탁틴내일청소년성문화센터,서울특별시 서대문구,,청소년,청소년,상담/지원,수시,서울시 서대문구 신촌로 7길 18번지 3층(창천동 114-9번지),http://www.tacteen.net,,02-338-7480
기관,지역센터,ORG0002,부평구청소년성문화센터,인천광역시 부평구,,청소년,청소년,상담/지원,수시,인천광역시 부평구 체육관로 76 부평구 청소년수련관 3층,http://www.icbp.go.kr/open_content/gender,,032-500-2250
기관,지역센터,ORG0003,대전광역시청소년성문화센터,대전광역시 중구,,청소년,청소년,상담/지원,수시,대전광역시 중구 대종로 488번길 9 (은행동 142-6번지) 보육정보센터 3층,http://www.djsay.net,,042-222-8847
기관,지역센터,ORG0004,대전서부청소년성문화센터,대전광역시 서구,,청소년,청소년,상담/지원,수시,대전광역시 서구 배재로 155-40 배재대학교 국제교류관 501호,http://www.dssay.net,,042-520-5593
기관,지역센터,ORG0005,대구청소년성문화센터,대구광역시 달서구,,청소년,청소년,상담/지원,수시,대구광역시 달서구 앞산순환로 180,http://www.dgsay.net,,053-653-7755
기관,지역센터,ORG0006,대구아름청소년성문화센터,대구광역시 남구,,청소년,청소년,상담/지원,수시,대구광역시 남구 명덕로 34길 16(대명동) 1층,http://www.daeguarm.net,,053-657-1388
기관,지역센터,ORG0007,광주광역시청소년성문화센터,광주광역시 북구,,청소년,청소년,상담/지원,수시,"광주광역시 북구 중가로 43, 7층 (유동, 광주 YWCA건물)",http://www.gjsay1388.com,,062-522-1388
기관,지역센터,ORG0008,광산구청소년성문화센터,광주광역시 광산구,,청소년,청소년,상담/지원,수시,광주광역시 광산구 첨단중앙로 182번길 39,http://www.wawasay.or.kr,,062-972-7955
기관,지역센터,ORG0009,부산광역시청소년성문화센터,부산광역시 사상구,,청소년,청소년,상담/지원,수시,부산광역시 사상구 모덕로 82,http://www.bsycsay.or.kr/root/main.php,,051-303-9622
기관,지역센터,ORG0010,늘함께 청소년성문화센터,부산광역시 동래구,,청소년,청소년,상담/지원,수시,부산광역시 동래구 충렬대로 171 율곡빌딩 6층,http://www.say2008.or.kr,,051-558-1224
기관,지역센터,ORG0011,탄생의신비관청소년성문화센터,부산광역시 금정구,,청소년,청소년,상담/지원,수시,부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원 내,http://busansay.co.kr,,051-508-1808
기관,지역센터,ORG0012,아하!청소년성문화센터,서울특별시 영등포구,,청소년,청소년,상담/지원,수시,서울시 영등포구 영신로 200,http://ahacenter.kr,,02-2677-9220
기관,지역센터,ORG0013,탄생의신비관이동형청소년성문화센터(1),부산광역시 금정구,,청소년,청소년,상담/지원,수시,부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원 내,http://www.busansay.co.kr,,051-508-1308
기관,지역센터,ORG0014,탄생의신비관이동형청소년성문화센터(2),부산광역시 금정구,,청소년,청소년,상담/지원,수시,부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원 내,http://www.busansay.co.kr,,051-508-1308
