category,welfareType,servId,servNm,agency,department,intrsThemaArray,lifeArray,srvPvsnNm,sprtCycNm,servDgst,servDtlLink,inqNum,contact
제도,지자체(출자출연기관),SCH00001,일반장학금,서울특별시 양천구청,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 중학생 30만원 고등학생 60만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 중위소득이 100%이내인 자 / 중학생 및 고등학생 / 공고일 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)",https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828,,
제도,지자체(출자출연기관),SCH00002,성적우수장학금,서울특별시 양천구청,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 1인당 60만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 직전학기 성적이 재적학년 정원의 100분의 20 이내인 자 ○ 고1 : 절대평가 과목의 80% 이상에서 A등급 취득 상대평가 과목의 평균 1.42등급 이내 취득자 (고교학점제 반영)○ 고2·3 : 직전학기 과목별 '석차등급'의 평균 2.75등급 이내 취득자 (9등급제 반영) / 고등학생 / 공고일(2025. 8. 11.) 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)",https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828,,
제도,지자체(출자출연기관),SCH00003,특기장학금,서울특별시 양천구청,,교육,청소년,장학금/특기자,특정기간,"[지원내용] ○ 초·중등학생 30만원 고등학생 60만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 예술·체육·과학(수학 포함) 분야에서 정부/광역시·도단위 이상 자치단체/전국 교육감 등이 주최·주관하는 광역시·도단위 이상 대회에서 3위권 이내 입상한 자○ 입상실적은 공고일(2025.8.11.) 기준 2년 이내에 입상한 대회 / 공고일(2025. 8. 11.) 기준 양천구 관내에 1년 이상 거주하고 있는 초·중·고등학생(주민등록 기준)",https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828,,
제도,지자체(출자출연기관),SCH00004,희망장학생,재단법인 대전청년내일재단,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 70만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고체육고, 1학년2학년3학년제한없음 | [조건] 학업성적이 6등급 이내인 고등학생○ 고1의 경우 중학교 3학년 1·2학기 원점수가 기재된 과목들의 평균이 50점 이상인 학생 / 국민기초생활보장법상 수급자 및 차상위 계층의 자녀(한부모 가정 자녀 포함) / ※ 기관확인필요 / 현재 대전시에 소재한 고등학교에 재학 중인 학생",http://www.dhrdf/or.kr/html/kr ,,
제도,지자체(출자출연기관),SCH00005,응원장학금,(재)옹진군인재육성재단,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 연 1회 100만원/생활비성 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 옹진군 소재 초·중·고 통합 3년 이상 재학한 자○ 관내 고등학생(또는 보호자)이 질병·실직·폐업·화재·출소·재난 등 경제적 어려움으로 긴급지원이 필요한 자로 현재 긴급한 어려움을 증명할 자료를 제출한 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 선발 공고일 기준 옹진군에 주민등록을 두고 3년 이상 연속적으로 실거주 하고 있는 자",http://www.ongjin.go.kr,,
제도,지자체(출자출연기관),SCH00006,장학생,(재)인제군장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 50만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] (신입생)최종학력 성적 상위 5% 이내인 자○ (재학생)직전학년의 성적이 학년석차 상위 5% 범위에 해당하는 자(학교별 5명 이내) / 관내 고등학교 신입생 및 재학생 / 신청일 현재 군 관내에 주소를 두고 2년 이상 거주하고 있는 자/ 보호자 중 한 명 이상이 신청일 기준 군 관내에 2년 이상 계속해서 거주※ 자세한 사항은 첨부파일 또는 홈페이지 참고",https://www.inje.go.kr/portal,,
제도,기타,SCH00007,특기장학,우리다문화장학재단,,교육,청소년,장학금/특기자,특정기간,"[지원내용] ○ 500만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 특기 및 재능 보유 다문화가족 자녀(8세~34세 : 1993년생~2019년생)○ 예체능 및 어학 특기자/자격기술보유자/직업·진로 특기자 등○ 최근 3년 이내에 전국 규모 이상의 대회 입상실적 또는 이에 상응하는 특기 및 재능 관련 실적자료 제출이 가능해야함○ 학교 재학여부 관계없음(졸업생 및 학교 밖 청소년 신청가능)",http://www.woorifoundation.or.kr,,
제도,기타,SCH00008,일반장학생,봉평태기장학회,,교육,청소년,장학금/지역연고,특정기간,[지원내용] ○ 50만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고 | [조건] 재학생 : 직전학년 성적순위 10% 이내○ 신입생 : 입학 성적순위 10% 이내 / 2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 강원도내 고등학교 재학생 및 신입생 / 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자○ 단 본적이 타 지역인 자는 5년 이상 거주,https://www.pc.go.kr/,,
제도,기타,SCH00009,예체능특기생,봉평태기장학회,,교육,청소년,장학금/특기자,특정기간,[지원내용] ※ 기관확인필요 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고 | [조건] 봉평면내 초/중/고 재학생 중 예체능 특기자로서 前학년 도내 1위 및 전국대회 3위 이내 입상자 / 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자○ 본적이 타 지역인 자는 5년 이상 거주,https://www.pc.go.kr/,,
제도,기타,SCH00010,우등장학생,양양군인재육성장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금) | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 입학 또는 직전학년 재학중의 성적이 재적학년 정원의 100분의 30이내 / 국내 고등학교 진학 및 재학 중인 자 / 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그 주민의 자녀",http://www.yysc.or.kr,,
