category,welfareType,servId,servNm,region,agency,department,intrsThemaArray,lifeArray,srvPvsnNm,sprtCycNm,servDgst,servDtlLink,inqNum,contact
제도,중앙부처,WLF00001182,학교우유급식,농림축산식품부,농림축산식품부,축산경영과,생활지원,"아동, 청소년",현물지급,수시,"학교우유급식을 통해 성장기 학생들에게 필수 영양소를 공급하여 신체 발달과 건강 증진을 돕고, 낙농산업의 안정적 발전을 도모합니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001182&wlfareInfoReldBztpCd=01,24699,044-330-1114
제도,중앙부처,WLF00003189,중증장애인직업재활지원,보건복지부,보건복지부,장애인자립기반과,"일자리, 교육","청소년, 청년, 중장년, 노년",현금지급,월,사각지대 없는 촘촘한 직업재활서비스 제공을 통해 중증장애인의 자립기반을 마련하고 사회참여 증진을 도모합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003189&wlfareInfoReldBztpCd=01,8991,129
제도,중앙부처,WLF00001114,이주배경 청소년 지원,성평등가족부,성평등가족부,학교밖청소년지원과,생활지원,청소년,프로그램/서비스(서비스),수시,다문화가족의 청소년과 국내로 이주해 온 청소년들이 우리 사회에 잘 적응할 수 있도록 상담과 진로지원 프로그램 등을 실시합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001114&wlfareInfoReldBztpCd=01,4194,02-733-7587
제도,중앙부처,WLF00001180,학대피해아동 쉼터 설치 및 운영,보건복지부,보건복지부,아동학대대응과,"정신건강, 문화·여가, 안전·위기, 보호·돌봄","아동, 청소년",시설입소,수시,"학대피해아동에게 보호와 치료, 양육서비스 등을 제공함으로써 심신의 회복과 원가정 복귀를 지원합니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001180&wlfareInfoReldBztpCd=01,13959,129
제도,중앙부처,WLF00006217,출소(예정)자 취업지원사업(허그일자리지원),법무부,법무부,보호정책과,,"청소년, 청년, 중장년, 노년",프로그램/서비스(서비스),수시,"취업에 어려움을 겪는 출소자, 출소예정자, 보호관찰대상자 등에게 개인별 적절한 취업지원 서비스를 제공하여, 취업을 통해 개인과 가정의 행복을 추구합니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006217&wlfareInfoReldBztpCd=01,361,1670-7004
제도,중앙부처,WLF00000027,장애인 운전교육 사업,보건복지부,보건복지부,장애예방운전지원과,,"청소년, 청년, 중장년, 노년",프로그램/서비스(서비스),수시,중증장애인의 운전면허 취득에 필요한 실기(기능 및 도로주행) 교육과 면허증을 소지한 중도장애인의 운전 적응을 위한 순회교육을 실시하여 장애인의 이동권을 증진하고 사회참여를 확대합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000027&wlfareInfoReldBztpCd=01,3899,02-901-1553
제도,중앙부처,WLF00001175,자립준비청년 자립수당 지급,보건복지부,보건복지부,청년정책팀,생활지원,"청소년, 청년",현금지급,월,자립준비청년(보호종료아동)에게 자립수당을 지급하여 보호종료 후 경제적 부담을 완화하고 복지향상을 통해 안정적 사회정착 및 성공적 자립을 지원합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001175&wlfareInfoReldBztpCd=01,540347,129
제도,중앙부처,WLF00004658,과학문화 바우처 지원,과학기술정보통신부,과학기술정보통신부,과학기술문화과,"문화·여가, 교육","아동, 청소년",전자바우처(바우처),1회성,과학문화 소외지역 및 계층을 대상으로 과학문화 체험 기회 제공을 통한 격차 해소에 기여하고자 합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004658&wlfareInfoReldBztpCd=01,279739,1551-0012
제도,중앙부처,WLF00001184,암환자의료비지원,보건복지부,보건복지부,질병정책과,신체건강,"영유아, 아동, 청소년, 청년, 중장년, 노년",현금지급,수시,"저소득층 암환자에게 의료비를 지원하여 경제적 부담을 완화하고, 의료이용 장벽을 낮춰 암 환자의 치료 접근성을 향상시키기 위해서 지원하고 있습니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001184&wlfareInfoReldBztpCd=01,58780,031-920-2029
제도,중앙부처,WLF00003192,다문화가족 방문교육 서비스,성평등가족부,성평등가족부,다문화가족과,"생활지원, 교육","영유아, 아동, 청소년, 청년, 중장년",프로그램/서비스(서비스),월,"집합교육 참여가 어려운 다문화 가정에 방문하여 한국어 교육, 부모 교육, 자녀생활 교육을 제공하고 다문화 가족의 정착과 자녀양육을 돕습니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003192&wlfareInfoReldBztpCd=01,71392,1577-1366
